,Accuracy,Precision,Recall,F1
Naive Bayes,0.9573799910273665,0.8805970149253731,0.7892976588628763,0.8324514991181658
Logistic Regression,0.9488559892328399,0.7955271565495208,0.8327759197324415,0.8137254901960783
SVM,0.9510991475998205,0.8006329113924051,0.8461538461538461,0.8227642276422764
